pais,poblacion,superficie,continente
Alemania,83149300,357022,Europa
Arabia Saudita,36541087,2149690,Asia
Argentina,45376763,2780400,América
Australia,27122935,7741411,Oceanía
Brasil,213993437,8515767,América
Canadá,38929902,9984670,América
Chile,19960000,756096,América
China,1416096094,9388211,Asia
Colombia,51520000,1141748,América
Corea Del Sur,51709098,100210,Asia
Egipto,112716598,1002450,África
España,47385107,505990,Europa
Estados Unidos,347275807,9147420,América
Francia,65327589,551695,Europa
India,1463865525,2973190,Asia
Indonesia,279798049,1904569,Asia
Italia,59037472,301340,Europa
Japón,125800000,377975,Asia
Kenia,55914020,580367,África
México,130262216,1964375,América
Nigeria,223804632,923768,África
Noruega,5457000,385207,Europa
Nueva Zelanda,5210977,268838,Oceanía
Países Bajos,17650000,41543,Europa
Reino Unido,67886011,243610,Europa
Rusia,144444359,17098242,Europa
Sudáfrica,64747319,1213090,África
Suecia,10620000,450295,Europa
Tailandia,69950000,513120,Asia
Turquía,85664000,783562,Asia
